days_before_departure,price,seats_left,is_weekend,is_holiday,seat_type,booked
34,124,28,1,1,0,1
49,295,37,0,1,1,0
43,190,47,0,1,0,0
51,145,30,0,1,0,1
15,113,53,1,0,0,1
17,372,43,1,0,1,1
27,393,153,0,0,2,0
18,367,140,1,1,0,1
56,196,95,1,1,0,1
3,336,86,1,1,1,0
47,366,69,1,1,1,0
34,216,178,1,1,0,1
10,100,149,0,0,0,1
47,329,69,0,1,0,1
44,153,116,1,1,1,1
30,360,125,1,1,0,1
10,176,37,1,0,0,1
48,288,93,1,1,2,0
58,300,128,1,1,2,1
13,400,78,1,0,2,0
49,321,60,0,0,1,0
11,244,3,1,1,2,1
24,280,14,0,0,0,0
55,303,158,1,1,0,1
46,98,168,1,0,2,1
21,355,86,1,1,2,0
36,198,79,1,1,1,1
16,241,127,1,0,1,1
49,242,38,1,1,2,1
21,370,46,1,1,2,0
6,347,67,0,1,0,1
42,119,65,1,1,0,0
52,392,103,1,0,1,0
50,314,52,1,1,2,1
53,358,70,1,1,1,1
3,136,162,0,0,0,1
52,187,47,0,1,0,1
15,379,170,0,0,1,0
48,200,180,0,0,2,0
40,371,117,0,1,2,0
3,197,167,0,1,0,1
14,364,113,1,0,0,1
53,259,144,0,1,2,1
1,339,149,1,0,1,1
59,169,76,1,1,0,0
23,396,170,1,0,0,0
59,88,84,0,1,0,1
10,171,128,0,1,1,0
52,192,34,1,1,1,1
60,369,34,1,1,0,1
16,393,153,1,1,1,0
57,285,46,0,0,0,0
46,335,156,0,1,0,1
29,343,43,1,1,1,0
19,361,82,1,0,1,1
48,258,152,0,1,1,0
57,169,131,1,0,0,0
38,125,158,1,1,0,1
19,219,152,0,1,1,1
41,105,86,1,0,1,1
16,196,99,0,1,1,0
52,253,50,1,0,1,1
57,200,13,0,0,1,1
48,353,17,0,0,2,0
14,322,111,1,1,2,1
15,83,138,0,1,1,0
7,309,87,0,1,0,0
12,118,27,0,1,0,1
35,174,14,0,1,1,0
28,137,168,0,0,1,1
18,316,85,0,1,0,1
3,240,161,0,0,2,0
57,248,10,0,1,0,0
50,145,69,0,0,0,1
53,139,67,0,0,1,1
52,259,16,0,1,2,0
50,115,120,0,0,0,0
52,175,176,1,1,1,0
18,313,15,1,0,0,1
51,235,166,0,0,2,1
32,102,112,0,0,2,0
60,311,22,1,0,2,0
23,362,156,1,0,2,0
47,335,143,1,1,0,1
44,236,90,0,0,1,1
36,374,152,1,1,0,1
27,363,36,1,1,2,1
2,174,173,0,1,1,1
29,84,29,1,0,0,1
34,287,28,1,0,1,0
53,180,89,0,1,1,1
24,80,178,1,1,2,1
6,201,79,0,1,0,0
39,83,108,1,0,0,0
46,273,97,0,0,1,1
58,260,73,0,1,1,1
6,361,47,0,1,2,1
22,340,116,1,0,0,1
25,99,65,1,0,1,1
31,255,51,1,1,1,1
31,175,18,0,0,0,0
41,343,54,1,1,1,0
19,250,160,0,0,0,0
15,228,175,1,0,2,1
24,256,34,1,1,2,1
46,215,62,0,0,2,0
11,141,91,0,0,1,1
22,251,85,1,1,0,1
32,306,14,1,1,0,1
57,191,142,1,1,2,0
4,356,83,0,0,0,1
24,397,99,1,1,0,0
34,371,60,1,1,0,0
28,242,107,0,1,1,1
5,352,38,0,1,1,0
58,135,133,0,1,0,1
37,256,72,0,1,0,0
46,144,91,0,1,1,0
31,135,64,0,1,1,0
52,222,85,0,0,2,0
55,175,141,0,1,0,0
37,336,14,1,0,2,0
46,203,53,0,1,1,0
35,186,100,1,0,2,0
21,375,108,1,1,1,1
16,131,21,0,0,0,0
4,375,66,1,0,2,1
1,102,1,1,1,2,1
27,355,160,1,1,2,0
51,117,125,0,1,1,0
11,174,97,1,1,1,1
26,302,158,0,1,2,1
50,176,92,0,1,2,0
51,231,98,1,1,0,1
38,345,70,1,1,0,1
5,331,19,1,0,2,1
30,211,29,0,1,2,0
27,139,16,1,1,2,1
48,355,101,0,0,0,0
41,239,39,1,1,1,0
9,300,178,1,1,2,1
36,331,150,0,0,2,0
3,139,70,0,0,0,1
34,373,126,0,0,0,1
48,243,74,1,0,1,0
25,130,161,1,0,2,1
29,140,22,0,1,2,1
59,229,39,1,0,0,0
32,356,57,0,1,2,0
15,245,100,1,0,1,1
17,324,78,1,0,0,0
31,322,118,1,0,1,0
5,219,74,0,0,1,0
47,246,15,0,0,1,0
49,225,33,0,0,2,1
6,116,94,1,1,2,1
57,147,179,1,0,0,1
54,342,158,1,0,0,0
22,121,78,1,1,2,0
49,142,128,0,1,2,1
38,360,22,0,1,2,0
34,370,44,1,1,0,1
50,96,68,1,0,0,0
38,399,154,0,1,1,1
22,349,67,0,1,2,0
43,331,95,0,0,2,0
58,94,135,1,1,2,1
19,370,99,1,1,1,1
53,219,8,1,1,1,0
57,118,68,0,1,1,0
42,303,135,1,1,2,0
4,299,72,1,0,0,1
40,276,27,1,1,0,1
42,220,71,1,0,2,0
38,200,122,0,0,2,1
60,122,11,1,0,1,1
55,306,176,0,0,2,0
1,90,79,0,0,1,0
21,290,174,0,1,0,0
39,261,9,1,0,0,0
10,111,86,1,1,1,0
52,274,67,0,0,2,0
49,131,137,0,1,0,1
39,212,111,0,0,2,0
9,126,50,1,0,0,1
21,168,166,1,0,0,1
8,114,87,0,1,0,1
40,320,65,1,1,0,1
32,249,109,1,1,2,1
12,163,125,0,1,0,0
9,294,73,1,1,0,1
9,221,150,0,0,2,0
1,370,154,0,0,0,1
52,114,167,1,0,2,1
15,100,12,1,1,1,0
27,200,26,1,1,0,1
23,379,88,0,1,1,0
34,336,63,1,0,0,0
15,89,36,1,1,0,0
19,88,113,0,1,0,0
31,151,62,1,1,0,0
3,86,84,1,1,1,1
20,259,177,1,0,2,1
37,154,122,0,1,2,0
23,161,89,0,1,2,1
43,315,166,1,1,0,1
41,277,26,0,1,1,0
55,102,147,1,0,2,1
30,222,8,1,0,2,1
10,232,130,1,1,2,1
37,221,30,1,1,2,0
8,151,9,1,1,2,0
24,132,173,1,0,0,1
23,217,146,0,0,2,0
7,191,95,0,0,2,0
9,307,23,0,0,1,1
7,322,19,1,1,2,1
5,128,10,1,1,0,1
32,92,88,0,0,1,1
33,293,170,0,1,2,1
52,287,12,1,0,1,1
8,150,161,1,0,2,0
46,175,57,1,1,1,1
53,348,124,0,1,0,0
54,271,53,1,0,0,1
7,220,13,1,0,2,0
55,104,27,0,0,1,1
44,220,34,1,1,0,1
7,381,143,1,0,1,1
24,261,90,1,1,1,0
2,338,110,1,0,2,1
37,173,120,1,1,0,1
58,118,123,0,1,0,0
57,175,55,0,0,1,0
52,356,107,1,1,0,0
43,220,153,0,1,2,0
5,380,135,0,1,2,1
33,395,52,0,0,1,1
26,140,124,0,0,2,0
29,296,80,0,0,1,0
3,161,122,0,0,0,1
57,341,143,1,0,1,0
14,375,117,1,1,1,1
17,225,81,1,0,0,0
53,287,145,1,1,0,1
21,109,173,1,1,1,0
44,109,2,0,1,1,1
25,337,152,0,0,2,0
51,371,8,0,1,0,1
14,162,170,1,1,1,0
3,240,51,1,0,2,0
40,82,61,0,1,0,1
46,375,171,0,1,0,0
1,87,46,1,0,0,1
41,145,68,1,1,2,1
49,91,96,0,0,1,1
59,220,18,1,1,0,1
56,197,143,1,0,2,0
52,271,176,1,0,0,0
11,181,69,0,1,1,1
28,129,108,1,1,0,0
22,378,45,0,1,0,0
5,145,108,1,1,1,1
8,218,151,0,1,0,1
60,121,11,1,1,1,1
7,386,22,1,0,1,1
42,120,23,1,1,0,1
55,336,103,0,0,0,0
60,175,32,1,0,0,0
2,342,59,0,0,1,0
18,398,106,0,0,2,1
45,328,131,1,1,1,0
53,308,129,0,1,0,0
2,351,45,1,0,2,0
29,348,64,1,1,1,0
36,344,150,1,0,2,1
31,353,166,0,1,0,0
20,359,102,0,0,2,0
23,242,11,0,0,1,1
47,270,130,1,1,0,0
13,304,172,0,0,2,1
4,274,163,0,1,2,0
33,164,59,1,0,2,0
26,110,73,1,0,1,0
37,240,117,0,1,2,1
9,195,57,0,0,2,0
12,315,27,0,1,2,0
8,326,92,1,1,1,1
27,352,68,1,1,0,1
10,293,46,1,1,0,0
54,175,177,1,1,0,1
28,207,122,0,1,0,0
30,185,89,0,1,0,0
51,218,123,0,0,0,1
29,125,52,0,1,2,0
55,248,44,0,1,1,1
7,297,175,0,1,0,0
7,204,37,0,1,1,0
28,335,171,1,0,0,1
30,148,142,0,0,0,1
54,193,68,1,0,0,0
14,160,15,1,0,0,1
49,397,44,0,0,1,1
44,335,35,1,0,1,1
44,267,120,1,1,2,0
36,107,109,1,0,2,1
46,319,48,0,0,2,1
30,260,44,0,1,2,0
2,377,71,0,0,2,0
51,267,26,1,1,0,0
31,366,159,1,0,0,1
3,193,155,0,1,1,0
23,186,10,1,1,2,0
31,358,123,0,0,2,0
3,299,138,1,0,2,1
5,288,83,0,0,1,0
46,310,145,0,0,1,0
53,178,149,0,0,0,0
14,240,174,0,1,2,0
17,178,4,0,1,0,1
25,363,97,1,1,1,0
55,160,148,0,1,1,0
45,262,152,0,1,2,0
24,395,78,1,0,1,0
46,105,81,1,0,0,1
50,383,152,1,0,0,1
13,219,40,0,0,1,0
1,319,35,1,0,2,0
15,87,69,0,1,2,1
7,235,34,1,0,1,1
27,127,56,1,0,1,1
53,342,57,1,0,0,1
33,223,48,0,0,2,1
57,170,56,0,1,2,1
37,210,177,1,1,1,1
17,218,68,1,1,1,1
18,89,96,1,0,1,1
21,199,177,1,1,2,0
29,330,112,0,0,0,0
47,139,78,0,1,1,1
58,104,87,1,1,2,1
16,303,147,0,1,2,0
20,80,97,0,0,0,1
3,104,143,1,0,2,1
58,278,4,1,1,0,1
27,161,127,0,1,1,0
43,249,97,0,1,0,0
36,107,131,1,1,2,1
34,200,47,0,1,1,1
41,351,68,1,0,0,0
36,219,150,0,0,2,0
37,373,95,1,1,1,1
58,164,5,0,0,1,1
53,177,40,0,0,0,1
18,185,106,0,0,2,1
60,389,176,0,1,2,0
52,397,138,0,1,0,1
41,244,60,1,0,0,1
5,267,43,0,0,0,1
14,85,12,0,1,0,1
24,157,119,0,1,1,0
1,127,146,0,1,2,0
30,249,111,0,0,0,0
21,334,50,1,0,1,0
13,231,132,0,0,0,1
42,224,43,1,1,2,1
21,246,143,1,1,2,0
33,134,122,1,1,1,1
40,98,168,0,0,0,1
6,191,43,1,0,0,1
29,267,44,1,0,0,0
46,163,11,0,1,1,0
48,132,57,0,1,1,0
60,314,58,0,1,1,1
48,198,90,0,1,1,1
3,281,60,0,1,0,1
41,213,117,0,1,1,0
37,164,135,1,0,2,1
18,81,78,1,0,2,0
20,143,62,0,0,0,0
54,138,85,0,0,1,0
16,138,60,0,0,2,0
25,346,105,1,1,0,1
19,195,110,1,0,0,0
20,123,34,0,0,2,1
35,227,2,0,0,1,1
58,142,7,0,1,1,0
4,194,151,0,1,2,1
10,346,45,1,1,0,0
3,387,127,0,1,0,0
34,121,74,0,0,0,0
46,365,96,1,0,0,0
45,227,26,1,0,1,1
40,223,125,1,1,0,0
51,363,48,0,1,2,1
53,179,133,0,0,1,0
20,207,67,1,1,2,0
48,390,110,1,0,2,1
9,138,77,0,1,0,1
56,209,47,0,0,2,0
47,210,10,0,1,0,0
25,299,172,1,0,2,0
58,362,118,0,0,0,0
20,389,48,1,1,0,0
11,391,161,1,1,2,0
18,275,79,1,0,2,1
57,128,14,1,0,0,1
42,290,104,1,1,0,1
59,396,164,0,1,0,0
58,237,135,1,1,2,1
33,249,4,1,1,2,0
55,329,159,0,1,1,1
9,276,72,1,0,1,0
40,200,50,1,0,1,0
10,123,120,0,0,2,0
60,153,178,0,1,1,1
13,218,58,1,1,0,1
34,312,106,0,0,2,0
25,265,16,0,1,1,0
58,315,156,1,0,0,0
3,195,167,1,1,1,1
37,99,114,0,1,1,0
21,200,151,1,1,2,1
60,163,68,0,1,2,0
59,315,43,0,1,0,0
22,398,63,1,1,0,1
50,170,160,1,0,0,0
22,311,57,1,0,1,0
39,335,49,0,0,2,0
2,352,6,1,1,2,0
4,363,158,0,1,2,0
42,236,101,1,1,0,1
26,263,76,0,1,1,0
11,400,5,1,0,0,1
28,185,24,0,0,1,0
15,291,34,0,0,1,0
2,304,136,1,1,2,1
19,179,179,0,1,0,1
45,378,72,1,1,0,0
31,263,12,0,0,2,1
45,122,58,1,1,0,1
24,146,14,1,0,1,0
60,167,106,0,1,2,0
32,106,85,0,0,2,0
2,273,132,1,1,2,1
19,257,77,1,1,2,1
5,380,22,0,1,2,1
8,324,170,1,0,0,0
36,138,9,1,1,2,0
8,125,97,1,0,2,0
29,213,126,0,0,2,0
4,298,102,1,1,0,1
3,338,3,1,1,2,1
40,385,39,1,1,0,0
33,279,28,0,1,2,0
34,249,14,0,0,2,1
24,379,78,1,0,0,0
40,336,144,0,0,2,1
35,281,81,0,1,2,0
23,324,5,0,1,1,0
9,280,113,0,0,2,0
30,203,4,0,1,0,0
10,349,103,0,1,0,1
38,270,53,0,1,2,0
36,317,154,0,1,1,0
2,127,86,1,1,2,1
21,307,109,0,1,1,1
28,223,61,1,0,1,0
7,251,160,1,0,2,1
55,177,143,0,0,2,1
10,380,44,0,1,1,1
34,330,140,1,1,1,1
3,139,32,1,0,1,1
18,159,106,0,1,2,1
54,346,97,0,1,0,0
24,149,93,0,1,2,0
53,191,130,0,0,0,0
51,155,31,1,0,2,0
24,296,146,1,0,0,0
48,153,145,1,0,1,0
52,92,153,0,0,2,0
12,132,134,1,1,1,0
42,234,164,0,1,0,0
45,311,32,1,0,2,0
23,265,139,0,0,2,0
59,167,150,0,1,0,0
50,270,66,1,0,1,1
3,91,99,1,1,1,1
48,114,29,1,0,0,1
27,125,173,0,0,2,0
14,149,83,1,1,2,1
30,132,30,1,0,0,1
37,245,85,0,0,2,1
22,316,13,0,0,0,1
4,245,70,0,1,2,1
11,115,97,0,1,2,1
34,344,3,1,0,1,0
60,241,85,1,1,0,1
12,333,145,1,0,0,0
15,294,168,1,0,1,0
45,240,67,1,1,0,1
37,336,162,1,1,1,0
35,320,18,1,0,0,0
31,231,118,1,0,2,1
42,326,136,1,1,2,1
52,296,151,0,0,2,0
47,123,62,1,0,2,0
19,277,50,1,1,1,1
21,300,147,0,0,0,1
26,348,144,1,1,0,0
56,159,101,0,0,0,0
20,116,76,0,1,0,0
58,100,119,0,1,2,0
41,236,129,0,1,1,0
6,367,138,0,0,0,0
40,130,99,0,1,1,1
21,337,114,0,0,2,0
14,232,178,1,0,0,1
31,268,34,1,1,2,1
24,290,46,1,0,0,0
46,221,175,0,1,1,0
11,265,143,1,1,1,1
37,137,167,0,0,0,0
28,359,4,1,0,0,0
50,280,74,1,0,1,0
10,151,75,1,1,1,0
14,131,52,1,0,0,0
3,369,119,1,1,2,1
39,128,36,0,1,2,1
32,308,151,0,1,0,0
40,264,149,0,1,1,0
12,135,129,1,1,2,0
35,268,169,0,0,2,0
8,126,24,1,1,2,1
39,193,167,1,1,2,0
8,258,127,0,1,1,0
53,274,34,1,0,0,1
11,186,134,0,0,0,0
26,287,173,1,0,1,0
56,396,29,0,1,2,1
22,230,106,0,1,1,0
44,394,123,1,0,1,1
11,247,135,1,0,2,0
6,163,46,1,0,1,0
37,222,110,1,1,1,0
3,89,88,0,0,1,0
47,290,76,1,1,2,1
6,235,37,0,0,2,0
9,210,110,1,1,0,1
28,225,111,0,1,2,0
37,167,36,1,0,1,0
56,212,91,0,1,0,0
15,346,99,0,0,1,0
22,343,10,0,0,2,0
54,209,134,0,1,0,0
36,222,28,1,0,0,1
23,206,166,0,0,1,0
29,184,55,1,1,0,1
10,376,34,1,1,2,1
56,352,134,0,1,1,0
52,375,122,1,1,0,1
36,158,45,0,0,2,1
19,398,148,0,1,2,1
60,362,1,1,1,2,1
52,362,33,0,1,0,1
25,345,140,1,1,0,0
38,80,98,1,1,2,0
7,110,102,0,1,2,1
58,164,72,0,0,0,0
51,177,142,0,0,0,0
55,138,21,0,1,2,1
50,241,170,1,0,2,1
31,163,94,0,0,0,0
11,260,10,1,1,0,0
12,184,157,0,0,1,0
41,80,115,1,0,1,1
30,103,148,1,1,1,1
3,397,171,1,0,0,0
49,242,7,0,1,1,1
57,184,63,1,1,2,0
47,80,148,0,1,1,1
41,149,135,1,0,0,1
52,269,158,1,0,2,0
25,172,140,0,0,0,0
44,330,15,0,0,2,1
50,241,76,0,0,2,1
17,283,130,0,0,1,0
59,255,141,1,1,2,1
31,225,105,0,0,2,0
11,316,99,0,0,0,0
27,86,52,1,1,2,0
24,223,85,0,1,0,1
37,324,104,1,1,0,1
27,264,129,1,0,0,0
3,120,69,1,0,2,0
54,124,17,0,0,0,1
49,267,18,0,1,1,0
29,311,133,1,0,1,1
28,207,177,1,1,0,0
10,301,67,1,0,2,1
49,141,163,1,1,2,1
21,92,48,0,1,0,1
59,302,87,1,1,0,0
48,250,127,1,0,2,0
18,113,59,1,1,1,1
18,147,23,0,1,2,1
15,379,58,1,1,1,1
33,143,100,0,1,2,0
49,211,94,1,0,2,1
42,177,153,0,0,1,1
26,84,177,0,1,2,1
54,233,143,0,0,1,1
6,212,167,0,1,0,0
45,305,83,0,0,0,0
57,308,130,0,1,1,1
39,199,110,1,1,1,1
6,249,8,0,0,2,1
57,369,1,0,0,1,1
55,377,33,0,1,0,0
10,382,135,0,1,1,0
43,85,148,0,1,1,1
15,189,179,1,1,2,0
11,98,38,0,0,2,0
42,315,24,1,0,0,0
42,240,56,0,0,1,0
4,343,132,0,0,2,0
35,202,125,1,1,2,0
14,366,83,1,1,0,1
51,184,118,1,0,0,1
34,223,26,0,0,2,1
29,368,171,0,0,2,0
49,149,27,1,0,0,1
46,138,90,0,1,0,0
50,250,2,1,0,1,0
13,95,47,0,0,1,0
12,84,63,1,1,0,0
5,97,156,1,1,2,1
54,89,174,0,0,2,0
55,351,176,0,1,1,0
15,186,174,0,0,1,1
44,129,63,1,0,2,0
26,92,83,0,1,1,0
46,394,92,1,0,2,0
55,216,102,0,1,1,0
28,261,52,1,1,0,1
16,283,33,0,0,0,1
17,91,55,0,1,2,1
48,323,38,1,0,1,0
34,244,136,1,0,2,0
10,251,21,1,1,0,1
44,212,96,1,1,0,1
52,364,65,1,1,2,0
16,315,166,1,1,0,1
49,258,87,0,0,1,1
8,90,66,0,0,1,1
27,258,103,0,0,0,1
19,171,77,1,1,0,1
30,267,17,0,1,0,0
25,288,57,1,0,2,0
4,260,88,0,1,0,1
24,243,17,1,1,2,0
1,271,19,0,1,0,0
35,270,57,0,0,1,1
13,294,173,1,0,2,1
29,224,103,1,0,1,0
52,253,134,0,0,1,0
15,244,6,1,1,1,1
46,392,34,0,1,0,1
34,296,137,0,1,1,0
34,332,55,0,0,1,1
49,269,24,0,1,2,1
46,164,166,0,1,2,0
22,239,138,0,0,2,1
41,214,80,1,0,0,0
15,337,154,0,0,1,0
46,228,5,0,0,1,0
60,132,6,1,1,0,1
2,237,99,1,0,0,0
56,369,128,0,0,0,1
12,145,37,1,1,0,1
40,208,135,0,0,2,1
32,316,90,0,0,2,1
35,269,102,1,1,2,0
23,200,163,0,1,2,0
35,214,126,1,1,0,1
2,385,24,1,0,1,1
1,247,82,0,1,0,0
41,167,121,1,0,0,0
23,197,42,0,0,1,0
35,179,173,0,0,1,0
55,267,130,0,0,0,1
53,197,5,1,1,0,1
45,278,125,0,1,1,0
46,199,158,0,0,1,0
38,394,30,0,1,0,1
17,90,11,0,1,1,1
25,240,56,1,0,1,0
33,276,139,1,1,2,0
10,329,138,0,1,2,0
48,360,119,1,0,0,0
36,179,11,1,1,2,1
36,148,44,0,0,0,1
21,298,59,0,1,1,1
40,136,168,1,1,0,1
29,102,146,0,1,0,0
46,227,93,1,0,1,1
1,157,41,0,0,2,0
23,364,153,1,1,2,1
34,372,47,1,1,0,1
11,163,81,0,1,2,0
7,398,158,1,1,0,1
24,275,73,0,0,1,0
10,98,125,1,0,2,1
3,399,144,1,0,0,1
60,286,117,1,1,0,1
5,132,143,1,0,0,0
31,399,69,1,1,1,1
7,356,129,1,1,1,0
15,232,31,1,1,1,1
6,138,65,0,1,1,1
34,262,130,0,1,2,0
54,232,11,1,1,1,1
7,176,55,0,1,2,1
4,96,76,0,0,0,1
59,241,86,0,1,0,0
26,254,22,0,0,1,0
31,300,14,1,0,1,0
35,261,82,1,1,2,0
12,386,149,1,1,1,0
22,149,115,1,0,0,1
28,238,32,0,1,1,1
45,187,143,1,0,2,0
41,277,22,0,1,0,0
16,347,99,0,1,0,0
28,377,114,0,1,1,0
14,251,53,0,0,1,1
52,122,110,0,0,2,1
55,362,68,0,0,0,1
31,345,105,1,1,2,1
43,252,18,0,0,0,0
1,225,103,1,0,1,0
14,388,40,0,1,1,0
29,132,4,1,1,2,1
6,189,115,0,0,1,1
25,140,163,1,1,2,1
45,338,123,1,1,1,0
28,396,111,1,1,0,1
41,91,28,0,1,2,1
11,392,81,1,1,0,0
46,98,168,1,1,0,1
15,164,162,0,1,2,1
1,90,48,1,1,2,0
45,186,177,0,0,1,0
21,131,64,0,1,0,0
33,156,127,1,0,0,0
60,363,80,0,1,2,0
30,358,72,1,1,0,1
15,239,121,0,1,0,1
55,188,61,0,1,1,0
8,102,110,1,0,1,0
37,203,119,1,0,2,0
6,377,47,0,1,2,1
50,345,62,1,1,0,0
42,364,92,1,0,0,0
7,159,108,0,0,2,0
6,87,71,0,1,1,1
23,302,69,1,1,0,0
48,231,9,1,1,0,1
8,155,92,1,1,2,1
22,87,91,0,0,1,1
49,248,110,1,1,0,1
25,95,118,1,0,1,1
4,332,7,1,0,2,1
40,344,167,0,1,2,0
33,104,24,0,0,2,0
55,220,42,1,0,1,1
32,257,66,1,1,1,1
34,337,143,1,0,0,0
60,385,91,1,0,1,0
46,205,158,1,1,2,1
50,394,106,1,0,2,0
7,375,52,1,0,1,0
20,348,180,0,0,1,1
56,93,115,0,1,2,1
4,209,180,1,1,1,1
26,98,171,1,1,0,1
54,261,117,0,0,0,0
29,165,31,0,1,2,0
43,85,39,1,0,0,0
26,175,175,0,0,1,0
24,159,47,1,0,0,1
18,215,178,0,1,0,1
27,278,81,1,0,0,0
38,224,57,0,0,1,0
25,177,165,0,1,1,0
31,112,24,0,1,1,1
17,362,41,0,1,1,0
52,366,89,0,0,0,1
39,319,110,1,1,0,0
48,367,71,0,0,2,0
20,116,117,1,0,2,0
38,216,121,1,1,1,1
10,172,162,1,0,0,0
60,178,173,0,0,1,0
16,251,129,1,1,0,1
23,302,87,0,1,0,0
13,368,115,1,1,1,1
39,162,123,1,1,0,1
14,344,2,0,0,2,0
19,165,38,0,1,1,0
3,308,149,0,1,2,1
35,304,131,0,1,1,0
27,275,139,1,0,2,1
60,395,106,0,0,0,0
37,240,31,1,0,1,0
48,187,81,0,0,1,0
15,393,14,1,1,1,1
32,205,56,0,1,2,0
13,360,54,0,0,1,1
51,271,54,1,0,1,1
35,95,72,1,0,0,1
26,145,148,0,0,0,1
29,227,118,1,0,2,0
36,275,93,0,0,2,0
13,308,161,1,0,0,0
32,161,162,1,1,1,0
3,287,175,0,0,2,1
28,291,27,0,0,1,0
23,211,34,0,0,1,1
57,366,147,0,0,0,0
41,284,126,0,1,0,1
48,226,60,0,1,1,0
52,153,104,1,0,1,1
39,324,93,1,0,1,1
7,364,95,1,1,0,0
11,120,77,0,1,0,1
57,152,141,0,0,0,0
5,197,166,1,1,2,1
31,97,57,1,0,1,1
27,215,86,0,0,0,0
48,165,108,1,0,1,0
39,244,148,0,1,1,0
47,160,164,0,1,0,1
25,87,156,1,0,1,0
15,230,2,1,1,0,0
53,199,34,1,0,2,0
48,164,55,1,1,1,1
